A|General Economics and Teaching
D00|General
D01|Microeconomic Behavior: Underlying Principles
D02|Institutions: Design, Formation, Operations, and Impact
D04|Microeconomic Policy: Formulation, Implementation, and Evaluation
D1|Household Behavior and Family Economics
D10|General
D11|Consumer Economics: Theory
D12|Consumer Economics: Empirical Analysis
D13|Household Production and Intrahousehold Allocation
D14|Household Saving &bull; Personal Finance
D15|Intertemporal Household Choice &bull; Life Cycle Models and Saving
D16|Collaborative Consumption
D18|Consumer Protection
D19|Other
D2|Production and Organizations
D20|General
D21|Firm Behavior: Theory
D22|Firm Behavior: Empirical Analysis
D23|Organizational Behavior &bull; Transaction Costs &bull; Property Rights
D24|Production &bull; Cost &bull; Capital &bull; Capital, Total Factor, and Multifactor Productivity &bull; Capacity
D25|Intertemporal Firm Choice: Investment, Capacity, and Financing
D26|Crowd-Based Firms
D29|Other
D3|Distribution
D30|General
D31|Personal Income, Wealth, and Their Distributions
D33|Factor Income Distribution
D39|Other
D4|Market Structure, Pricing, and Design
D40|General
D41|Perfect Competition
D42|Monopoly
D43|Oligopoly and Other Forms of Market Imperfection
D44|Auctions
D45|Rationing &bull; Licensing
D46|Value Theory
D47|Market Design
D49|Other
D5|General Equilibrium and Disequilibrium
D50|General
D51|Exchange and Production Economies
D52|Incomplete Markets
D53|Financial Markets
D57|Input&ndash;Output Tables and Analysis
D58|Computable and Other Applied General Equilibrium Models
D59|Other
D6|Welfare Economics
D60|General
D61|Allocative Efficiency &bull; Cost&ndash;Benefit Analysis
D62|Externalities
D63|Equity, Justice, Inequality, and Other Normative Criteria and Measurement
D64|Altruism &bull; Philanthropy &bull; Intergenerational Transfers
D69|Other
D7|Analysis of Collective Decision-Making
D70|General
D71|Social Choice &bull; Clubs &bull; Committees &bull; Associations
D72|Political Processes: Rent-Seeking, Lobbying, Elections, Legislatures, and Voting Behavior
D73|Bureaucracy &bull; Administrative Processes in Public Organizations &bull; Corruption
D74|Conflict &bull; Conflict Resolution &bull; Alliances &bull; Revolutions
D78|Positive Analysis of Policy Formulation and Implementation
D79|Other
D8|Information, Knowledge, and Uncertainty
D80|General
D81|Criteria for Decision-Making under Risk and Uncertainty
D82|Asymmetric and Private Information &bull; Mechanism Design
D83|Search &bull; Learning &bull; Information and Knowledge &bull; Communication &bull; Belief &bull; Unawareness
D84|Expectations &bull; Speculations
D85|Network Formation and Analysis: Theory
D86|Economics of Contract: Theory
D87|Neuroeconomics
D89|Other
D9|Micro-Based Behavioral Economics
D90|General
D91|Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making
E|Macroeconomics and Monetary Economics
E0|General
E00|General
E01|Measurement and Data on National Income and Product Accounts and Wealth &bull; Environmental Accounts
E02|Institutions and the Macroeconomy
E1|General Aggregative Models
E10|General
E11|Marxian &bull; Sraffian &bull; Kaleckian
E12|Keynes &bull; Keynesian &bull; Post-Keynesian &bull; Modern Monetary Theory
E14|Austrian &bull; Evolutionary &bull; Institutional 
E13|Neoclassical
E16|Social Accounting Matrix
E17|Forecasting and Simulation: Models and Applications
E19|Other
E2|Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy
E20|General
E21|Consumption &bull; Saving &bull; Wealth
E22|Investment &bull; Capital &bull; Intangible Capital &bull; Capacity
E23|Production
E24|Employment &bull; Unemployment &bull; Wages &bull; Intergenerational Income Distribution &bull; Aggregate Human Capital &bull; Aggregate Labor Productivity
E25|Aggregate Factor Income Distribution
E26|Informal Economy &bull; Underground Economy
E27|Forecasting and Simulation: Models and Applications
E29|Other
E3|Prices, Business Fluctuations, and Cycles
E30|General
E31|Price Level &bull; Inflation &bull; Deflation
E32|Business Fluctuations &bull; Cycles
E37|Forecasting and Simulation: Models and Applications
E39|Other
E4|Money and Interest Rates
E40|General
E41|Demand for Money
E42|Monetary Systems &bull; Standards &bull; Regimes &bull; Government and the Monetary System &bull; Payment Systems
E43|Interest Rates: Determination, Term Structure, and Effects 
E44|Financial Markets and the Macroeconomy
E47|Forecasting and Simulation: Models and Applications
E49|Other
E5|Monetary Policy, Central Banking, and the Supply of Money and Credit
E50|General
E51|Money Supply &bull; Credit &bull; Money Multipliers
E52|Monetary Policy
E58|Central Banks and Their Policies
E59|Other
E6|Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook
E60|General
E61|Policy  Objectives &bull; Policy Designs and Consistency &bull; Policy Coordination
E62|Fiscal Policy
E63|Comparative or Joint Analysis of Fiscal and Monetary Policy &bull; Stabilization &bull; Treasury Policy
E64|Incomes Policy &bull; Price Policy
E65|Studies of Particular Policy Episodes
E66|General Outlook and Conditions
E69|Other
E7|Macro-Based Behavioral Economics
E70|General
E71|Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on the Macro Economy
F|International Economics
F0|General
F00|General
F01|Global Outlook
F02|International Economic Order and Integration
F1|Trade
F10|General
F11|Neoclassical Models of Trade
F12|Models of Trade with Imperfect Competition and Scale Economies &bull; Fragmentation
F13|Trade Policy &bull; International Trade Organizations
F14|Empirical Studies of Trade
F15|Economic Integration
F16|Trade and Labor Market Interactions
F17|Trade Forecasting and Simulation
F18|Trade and Environment
F19|Other
F2|International Factor Movements and International Business
F20|General
F21|International Investment &bull; Long-Term Capital Movements
F22|International Migration
F23|Multinational Firms &bull; International Business
F24|Remittances
F29|Other
F3|International Finance
F30|General
F31|Foreign Exchange
F32|Current Account Adjustment &bull; Short-Term Capital Movements
F33|International Monetary Arrangements and Institutions
F34|International Lending and Debt Problems
F35|Foreign Aid
F36|Financial Aspects of Economic Integration
F37|International Finance Forecasting and Simulation: Models and Applications
F38|International Financial Policy: Financial Transactions Tax; Capital Controls
F39|Other
F4|Macroeconomic Aspects of International Trade and Finance
F40|General
F41|Open Economy Macroeconomics
F42|International Policy Coordination and Transmission
F43|Economic Growth of Open Economies
F44|International Business Cycles
F45|Macroeconomic Issues of Monetary Unions
F47|Forecasting and Simulation: Models and Applications
F49|Other
F5|International Relations, National Security, and International Political Economy
F50|General
F51|International Conflicts &bull; Negotiations &bull; Sanctions
F52|National Security &bull; Economic Nationalism
F53|International Agreements and Observance &bull; International Organizations
F54|Colonialism &bull; Imperialism &bull; Postcolonialism
F55|International Institutional Arrangements
F59|Other
F6|Economic Impacts of Globalization
F60|General
F61|Microeconomic Impacts
F62|Macroeconomic Impacts
F63|Economic Development
F64|Environment
F65|Finance
F66|Labor
F68|Policy
F69|Other
G|Financial Economics
G0|General
G00|General
G01|Financial Crises
G1|General Financial Markets
G10|General
G11|Portfolio Choice &bull; Investment Decisions
G12|Asset Pricing &bull; Trading Volume &bull; Bond Interest Rates
G13|Contingent Pricing &bull; Futures Pricing
G14|Information and Market Efficiency &bull; Event Studies &bull; Insider Trading
G15|International Financial Markets
G17|Financial Forecasting and Simulation
G18|Government Policy and Regulation
G19|Other
G2|Financial Institutions and Services
G20|General
G21|Banks &bull; Depository Institutions &bull; Micro Finance Institutions &bull; Mortgages
G22|Insurance &bull; Insurance Companies &bull; Actuarial Studies
G23|Non-bank Financial Institutions &bull; Financial Instruments &bull; Institutional Investors
G24|Investment Banking &bull; Venture Capital &bull; Brokerage &bull; Ratings and Ratings Agencies
G28|Government Policy and Regulation
G29|Other
G3|Corporate Finance and Governance
G30|General
G31|Capital Budgeting &bull; Fixed Investment and Inventory Studies &bull; Capacity
G32|Financing Policy &bull; Financial Risk and Risk Management &bull; Capital and Ownership Structure &bull; Value of Firms &bull; Goodwill
G33|Bankruptcy &bull; Liquidation
G34|Mergers &bull; Acquisitions &bull; Restructuring &bull; Corporate Governance
G35|Payout Policy
G38|Government Policy and Regulation
G39|Other
G4|Behavioral Finance
G40|General
G41|Role and Effects of Psychological, Emotional, Social, and Cognitive Factors on Decision Making in Financial Markets
G5|Household Finance 
G50|General
G51|Household Saving, Borrowing, Debt, and Wealth
G52|Insurance
G53|Financial Literacy
G59|Other
H|Public Economics
H0|General
H00|General
H1|Structure and Scope of Government
H10|General
H11|Structure, Scope, and Performance of Government
H12|Crisis Management
H13|Economics of Eminent Domain &bull; Expropriation &bull; Nationalization
H19|Other
H2|Taxation, Subsidies, and Revenue
H20|General
H21|Efficiency &bull; Optimal Taxation
H22|Incidence
H23|Externalities &bull; Redistributive Effects &bull; Environmental Taxes and Subsidies
H24|Personal Income and Other Nonbusiness Taxes and Subsidies
H25|Business Taxes and Subsidies
H26|Tax Evasion and Avoidance
H27|Other Sources of Revenue
H29|Other
H3|Fiscal Policies and Behavior of Economic Agents
H30|General
H31|Household
H32|Firm
H39|Other
H4|Publicly Provided Goods
H40|General
H41|Public Goods
H42|Publicly Provided Private Goods
H43|Project Evaluation &bull; Social Discount Rate
H44|Publicly Provided Goods: Mixed Markets
H49|Other
H5|National Government Expenditures and Related Policies
H50|General
H51|Government Expenditures and Health
H52|Government Expenditures and Education
H53|Government Expenditures and Welfare Programs
H54|Infrastructures &bull; Other Public Investment and Capital Stock
H55|Social Security and Public Pensions
H56|National Security and War
H57|Procurement
H59|Other
H6|National Budget, Deficit, and Debt
H60|General
H61|Budget &bull; Budget Systems
H62|Deficit &bull; Surplus
H63|Debt &bull; Debt Management &bull; Sovereign Debt
H68|Forecasts of Budgets, Deficits, and Debt
H69|Other
H7|State and Local Government &bull; Intergovernmental Relations
H70|General
H71|State and Local Taxation, Subsidies, and Revenue
H72|State and Local Budget and Expenditures
H73|Interjurisdictional Differentials and Their Effects
H74|State and Local Borrowing
H75|State and Local Government: Health &bull; Education &bull; Welfare &bull; Public Pensions
H76|State and Local Government: Other Expenditure Categories
H77|Intergovernmental Relations &bull; Federalism &bull; Secession
H79|Other
H8|Miscellaneous Issues
H80|General
H81|Governmental Loans &bull; Loan Guarantees &bull; Credits &bull; Grants &bull; Bailouts
H82|Governmental Property
H83|Public Administration &bull; Public Sector Accounting and Audits
H84|Disaster Aid
H87|International Fiscal Issues &bull; International Public Goods
H89|Other
I|Health, Education, and Welfare
I0|General
I00|General
I1|Health
I10|General
I11|Analysis of Health Care Markets
I12|Health Behavior
I13|Health Insurance, Public and Private
I14|Health and Inequality
I15|Health and Economic Development
I18|Government Policy &bull; Regulation &bull; Public Health
I19|Other
I2|Education and Research Institutions
I20|General
I21|Analysis of Education
I22|Educational Finance &bull; Financial Aid
I23|Higher Education &bull; Research Institutions
I24|Education and Inequality
I25|Education and Economic Development
I26|Returns to Education
I28|Government Policy
I29|Other
I3|Welfare, Well-Being, and Poverty
I30|General
I31|General Welfare, Well-Being  
I32|Measurement and Analysis of Poverty
I38|Government Policy &bull; Provision and Effects of Welfare Programs
I39|Other
J|Labor and Demographic Economics
J0|General
J00|General
J01|Labor Economics: General
J08|Labor Economics Policies
J1|Demographic Economics
J10|General
J11|Demographic Trends, Macroeconomic Effects, and Forecasts
J12|Marriage &bull; Marital Dissolution &bull; Family Structure &bull; Domestic Abuse
J13|Fertility &bull; Family Planning &bull; Child Care &bull; Children &bull; Youth
J14|Economics of the Elderly &bull; Economics of the Handicapped &bull; Non-Labor Market Discrimination
J15|Economics of Minorities, Races, Indigenous Peoples, and Immigrants &bull; Non-labor Discrimination
J16|Economics of Gender &bull; Non-labor Discrimination
J17|Value of Life &bull; Forgone Income
J18|Public Policy
J19|Other
J2|Demand and Supply of Labor
J20|General
J21|Labor Force and Employment, Size, and Structure
J22|Time Allocation and Labor Supply
J23|Labor Demand
J24|Human Capital &bull; Skills &bull; Occupational Choice &bull; Labor Productivity
J26|Retirement &bull; Retirement Policies
J28|Safety &bull; Job Satisfaction &bull; Related Public Policy
J29|Other
J3|Wages, Compensation, and Labor Costs
J30|General
J31|Wage Level and Structure &bull; Wage Differentials
J32|Nonwage Labor Costs and Benefits &bull; Retirement Plans &bull; Private Pensions
J33|Compensation Packages &bull; Payment Methods
J38|Public Policy
J39|Other
J4|Particular Labor Markets
J40|General
J41|Labor Contracts
J42|Monopsony &bull; Segmented Labor Markets
J43|Agricultural Labor Markets
J44|Professional Labor Markets &bull; Occupational Licensing
J45|Public Sector Labor Markets
J46|Informal Labor Markets
J47|Coercive Labor Markets
J48|Public Policy
J49|Other
J5|Labor&ndash;Management Relations, Trade Unions, and Collective Bargaining
J50|General
J51|Trade Unions: Objectives, Structure, and Effects
J52|Dispute Resolution:  Strikes, Arbitration, and Mediation &bull; Collective Bargaining
J53|Labor&ndash;Management Relations &bull; Industrial Jurisprudence
J54|Producer Cooperatives &bull; Labor Managed Firms &bull; Employee Ownership
J58|Public Policy
J59|Other
J6|Mobility, Unemployment, Vacancies, and Immigrant Workers
J60|General
J61|Geographic Labor Mobility &bull; Immigrant Workers
J62|Job, Occupational, and Intergenerational Mobility
J63|Turnover &bull; Vacancies &bull; Layoffs
J64|Unemployment: Models, Duration, Incidence, and Job Search
J65|Unemployment Insurance &bull; Severance Pay &bull; Plant Closings
J68|Public Policy
J69|Other
J7|Labor Discrimination
J70|General
J71|Discrimination
J78|Public Policy
J79|Other
J8|Labor Standards: National and International
J80|General
J81|Working Conditions
J82|Labor Force Composition
J83|Workers' Rights
J88|Public Policy
J89|Other
K|Law and Economics
K0|General
K00|General
K1|Basic Areas of Law
K10|General
K11|Property Law
K12|Contract Law
K13|Tort Law and Product Liability &bull; Forensic Economics
K14|Criminal Law
K15|Civil Law &bull; Common Law
K16|Election Law
K19|Other
K2|Regulation and Business Law
K20|General
K21|Antitrust Law
K22|Business and Securities Law
K23|Regulated Industries and Administrative Law
K24|Cyber Law
K25|Real Estate Law
K29|Other
K3|Other Substantive Areas of Law
K30|General
K31|Labor Law
K32|Energy, Environmental, Health, and Safety Law
K33|International Law
K34|Tax Law
K35|Personal Bankruptcy Law
K36|Family and Personal Law
K37|Immigration Law
K38|Human Rights Law &bull; Gender Law
K39|Other
K4|Legal Procedure, the Legal System, and Illegal Behavior
K40|General
K41|Litigation Process
K42|Illegal Behavior and the Enforcement of Law
K49|Other
L|Industrial Organization
L0|General
L00|General
L1|Market Structure, Firm Strategy, and Market Performance
L10|General
L11|Production, Pricing, and Market Structure &bull; Size Distribution of Firms
L12|Monopoly &bull; Monopolization Strategies
L13|Oligopoly and Other Imperfect Markets
L14|Transactional Relationships &bull; Contracts and Reputation &bull; Networks
L15|Information and Product Quality &bull; Standardization and Compatibility
L16|Industrial Organization and Macroeconomics: Industrial Structure and Structural Change &bull; Industrial Price Indices
L17|Open Source Products and Markets
L19|Other
L2|Firm Objectives, Organization, and Behavior
L20|General
L21|Business Objectives of the Firm
L22|Firm Organization and Market Structure
L23|Organization of Production
L24|Contracting Out &bull; Joint Ventures &bull; Technology Licensing
L25|Firm Performance: Size, Diversification, and Scope
L26|Entrepreneurship
L29|Other
L3|Nonprofit Organizations and Public Enterprise
L30|General
L31|Nonprofit Institutions &bull; NGOs &bull; Social Entrepreneurship
L32|Public Enterprises &bull; Public-Private Enterprises
L33|Comparison of Public and Private Enterprises and Nonprofit Institutions &bull; Privatization &bull; Contracting Out
L38|Public Policy
L39|Other
L4|Antitrust Issues and Policies
L40|General
L41|Monopolization &bull; Horizontal Anticompetitive Practices
L42|Vertical Restraints &bull; Resale Price Maintenance &bull; Quantity Discounts
L43|Legal Monopolies and Regulation or Deregulation
L44|Antitrust Policy and Public Enterprises, Nonprofit Institutions, and Professional Organizations
L49|Other
L5|Regulation and Industrial Policy
L50|General
L51|Economics of Regulation
L52|Industrial Policy &bull; Sectoral Planning Methods
L53|Enterprise Policy 
L59|Other
L6|Industry Studies: Manufacturing
L60|General
L61|Metals and Metal Products &bull; Cement &bull; Glass &bull; Ceramics
L62|Automobiles &bull; Other Transportation Equipment &bull; Related Parts and Equipment
L63|Microelectronics &bull; Computers &bull; Communications Equipment
L64|Other Machinery &bull; Business Equipment &bull; Armaments
L65|Chemicals &bull; Rubber &bull; Drugs &bull; Biotechnology &bull; Plastics
L66|Food &bull; Beverages &bull; Cosmetics &bull; Tobacco &bull; Wine and Spirits
L67|Other Consumer Nondurables: Clothing, Textiles, Shoes, and Leather Goods; Household Goods; Sports Equipment
L68|Appliances &bull; Furniture &bull; Other Consumer Durables
L69|Other
L7|Industry Studies: Primary Products and Construction
L70|General
L71|Mining, Extraction, and Refining: Hydrocarbon Fuels
L72|Mining, Extraction, and Refining: Other Nonrenewable Resources
L73|Forest Products
L74|Construction
L78|Government Policy
L79|Other
L8|Industry Studies: Services
L80|General
L81|Retail and Wholesale Trade &bull; e-Commerce
L82|Entertainment &bull; Media
L83|Sports &bull; Gambling &bull; Restaurants &bull; Recreation &bull; Tourism
L84|Personal, Professional, and Business Services
L85|Real Estate Services
L86|Information and Internet Services &bull; Computer Software
L87|Postal and Delivery Services
L88|Government Policy
L89|Other
L9|Industry Studies: Transportation and Utilities
L90|General
L91|Transportation: General
L92|Railroads and Other Surface Transportation
L93|Air Transportation
L94|Electric Utilities
L95|Gas Utilities &bull; Pipelines &bull; Water Utilities
L96|Telecommunications
L97|Utilities: General
L98|Government Policy
L99|Other
M|Business Administration and Business Economics &bull; Marketing &bull; Accounting &bull; Personnel Economics
M0|General
M00|General
M1|Business Administration
M10|General
M11|Production Management
M12|Personnel Management &bull; Executives; Executive Compensation
M13|New Firms &bull; Startups
M14|Corporate Culture &bull; Diversity &bull; Social Responsibility
M15|IT Management
M16|International Business Administration
M19|Other
M2|Business Economics
M20|General
M21|Business Economics
M29|Other
M3|Marketing and Advertising
M30|General
M31|Marketing
M37|Advertising
M38|Government Policy and Regulation
M39|Other
M4|Accounting and Auditing
M40|General
M41|Accounting
M42|Auditing
M48|Government Policy and Regulation
M49|Other
M5|Personnel Economics
M50|General
M51|Firm Employment Decisions &bull; Promotions
M52|Compensation and Compensation Methods and Their Effects
M53|Training
M54|Labor Management
M55|Labor Contracting Devices
M59|Other
N|Economic History
N0|General
N00|General
N01|Development of the Discipline: Historiographical; Sources and Methods
N1|Macroeconomics and Monetary Economics &bull; Industrial Structure &bull; Growth &bull; Fluctuations
N10|General, International, or Comparative
N11|U.S. &bull; Canada: Pre-1913
N12|U.S. &bull; Canada: 1913&ndash;
N13|Europe: Pre-1913
N14|Europe: 1913&ndash;
N15|Asia including Middle East
N16|Latin America &bull; Caribbean
N17|Africa &bull; Oceania
N2|Financial Markets and Institutions
N20|General, International, or Comparative
N21|U.S. &bull; Canada: Pre-1913
N22|U.S. &bull; Canada: 1913&ndash;
N23|Europe: Pre-1913
N24|Europe: 1913&ndash;
N25|Asia including Middle East
N26|Latin America &bull; Caribbean
N27|Africa &bull; Oceania
N3|Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy
N30|General, International, or Comparative
N31|U.S. &bull; Canada: Pre-1913
N32|U.S. &bull; Canada: 1913-
N33|Europe: Pre-1913
N34|Europe: 1913-
N35|Asia including Middle East
N36|Latin America &bull; Caribbean
N37|Africa &bull; Oceania
N4|Government, War, Law, International Relations, and Regulation
N40|General, International, or Comparative
N41|U.S. &bull; Canada: Pre-1913
N42|U.S. &bull; Canada: 1913&ndash;
N43|Europe: Pre-1913
N44|Europe: 1913&ndash;
N45|Asia including Middle East
N46|Latin America &bull; Caribbean
N47|Africa &bull; Oceania
N5|Agriculture, Natural Resources, Environment, and Extractive Industries
N50|General, International, or Comparative
N51|U.S. &bull; Canada: Pre-1913
N52|U.S. &bull; Canada: 1913&ndash;
N53|Europe: Pre-1913
N54|Europe: 1913&ndash;
N55|Asia including Middle East
N56|Latin America &bull; Caribbean
N57|Africa &bull; Oceania
N6|Manufacturing and Construction
N60|General, International, or Comparative
N61|U.S. &bull; Canada: Pre-1913
N62|U.S. &bull; Canada: 1913&ndash;
N63|Europe: Pre-1913
N64|Europe: 1913&ndash;
N65|Asia including Middle East
N66|Latin America &bull; Caribbean
N67|Africa &bull; Oceania
N7|Transport, Trade, Energy, Technology, and Other Services
N70|General, International, or Comparative
N71|U.S. &bull; Canada: Pre-1913
N72|U.S. &bull; Canada: 1913&ndash;
N73|Europe: Pre-1913
N74|Europe: 1913&ndash;
N75|Asia including Middle East
N76|Latin America &bull; Caribbean
N77|Africa &bull; Oceania
N8|Micro-Business History
N80|General, International, or Comparative
N81|U.S. &bull; Canada: Pre-1913
N82|U.S. &bull; Canada: 1913&ndash;
N83|Europe: Pre-1913
N84|Europe: 1913&ndash;
N85|Asia including Middle East
N86|Latin America &bull; Caribbean
N87|Africa &bull; Oceania
N9|Regional and Urban History
N90|General, International, or Comparative
N91|U.S. &bull; Canada: Pre-1913
N92|U.S. &bull; Canada: 1913&ndash;
N93|Europe: Pre-1913
N94|Europe: 1913&ndash;
N95|Asia including Middle East
N96|Latin America &bull; Caribbean
N97|Africa &bull; Oceania
O|Economic Development, Innovation, Technological Change, and Growth
O1|Economic Development
O10|General
O11|Macroeconomic Analyses of Economic Development
O12|Microeconomic Analyses of Economic Development
O13|Agriculture &bull; Natural Resources &bull; Energy &bull; Environment &bull; Other Primary Products
O14|Industrialization &bull; Manufacturing and Service Industries &bull; Choice of Technology
O15|Human Resources &bull; Human Development &bull; Income Distribution &bull; Migration
O16|Financial Markets &bull; Saving and Capital Investment &bull; Corporate Finance and Governance
O17|Formal and Informal Sectors &bull; Shadow Economy &bull; Institutional Arrangements
O18|Urban, Rural, Regional, and Transportation Analysis &bull; Housing &bull; Infrastructure
O19|International Linkages to Development &bull; Role of International Organizations
O2|Development Planning and Policy
O20|General
O21|Planning Models &bull; Planning Policy
O22|Project Analysis
O23|Fiscal and Monetary Policy in Development
O24|Trade Policy &bull; Factor Movement Policy &bull; Foreign Exchange Policy
O25|Industrial Policy
O29|Other
O3|Innovation &bull; Research and Development &bull; Technological Change &bull; Intellectual Property Rights
O30|General
O31|Innovation and Invention: Processes and Incentives
O32|Management of Technological Innovation and R&D
O33|Technological Change: Choices and Consequences &bull; Diffusion Processes
O34|Intellectual Property and Intellectual Capital
O35|Social Innovation
O36|Open Innovation
O38|Government Policy
O39|Other
O4|Economic Growth and Aggregate Productivity
O40|General
O41|One, Two, and Multisector Growth Models
O42|Monetary Growth Models
O43|Institutions and Growth
O44|Environment and Growth
O47|Empirical Studies of Economic Growth &bull; Aggregate Productivity &bull; Cross-Country Output Convergence
O49|Other
O5|Economywide Country Studies
O50|General
O51|U.S. &bull; Canada
O52|Europe
O53|Asia including Middle East
O54|Latin America &bull; Caribbean
O55|Africa
O56|Oceania
O57|Comparative Studies of Countries
P|Economic Systems
P0|General
P00|General
P1|Capitalist Systems
P10|General
P11|Planning, Coordination, and Reform
P12|Capitalist Enterprises
P13|Cooperative Enterprises
P14|Property Rights
P16|Political Economy
P17|Performance and Prospects
P18|Energy &bull; Environment
P19|Other
P2|Socialist Systems and Transitional Economies
P20|General
P21|Planning, Coordination, and Reform
P22|Prices
P23|Factor and Product Markets &bull; Industry Studies &bull; Population
P24|National Income, Product, and Expenditure &bull; Money &bull; Inflation
P25|Urban, Rural, and Regional Economics
P26|Political Economy &bull; Property Rights
P27|Performance and Prospects
P28|Natural Resources &bull; Energy &bull; Environment
P29|Other
P3|Socialist Institutions and Their Transitions
P30|General
P31|Socialist Enterprises and Their Transitions
P32|Collectives &bull; Communes &bull; Agriculture
